episode_id,suite,progress_raw,metric_source,progress_norm,label
rollout_000000,long,-0.44469591975212097,negative_eef_displacement_fallback,0.820266558007351,-1
rollout_000001,goal,-1.0176063776016235,negative_eef_displacement_fallback,0.2988746699752728,0
rollout_000002,object,-0.5170685052871704,negative_eef_displacement_fallback,0.8955083715897987,1
rollout_000003,goal,-0.9103443622589111,negative_eef_displacement_fallback,0.4398406865101829,0
rollout_000004,object,-0.4887186884880066,negative_eef_displacement_fallback,0.9662730624890646,1
rollout_000005,spatial,-0.5995650887489319,negative_eef_displacement_fallback,0.7338657387669791,-1
rollout_000006,goal,-0.9026228785514832,negative_eef_displacement_fallback,0.44998842423912233,0
rollout_000007,goal,-0.7715889811515808,negative_eef_displacement_fallback,0.6221959525844615,0
rollout_000008,long,-0.6484512686729431,negative_eef_displacement_fallback,0.6102042563878494,0
rollout_000009,spatial,-0.6595721244812012,negative_eef_displacement_fallback,0.6551475964679417,-1
rollout_000010,long,-0.4884658455848694,negative_eef_displacement_fallback,0.7751417973036951,-1
rollout_000011,long,-0.3188989758491516,negative_eef_displacement_fallback,0.9499573647170474,1
rollout_000012,object,-0.49171704053878784,negative_eef_displacement_fallback,0.9587888005065683,1
rollout_000013,goal,-0.5759776830673218,negative_eef_displacement_fallback,0.8792724711642921,-1
rollout_000014,spatial,-0.6612999439239502,negative_eef_displacement_fallback,0.6528810166393998,-1
rollout_000015,object,-0.4984275996685028,negative_eef_displacement_fallback,0.942038405047592,1
rollout_000016,goal,-0.4989382028579712,negative_eef_displacement_fallback,0.9805193907409345,1
rollout_000017,goal,-0.7779921889305115,negative_eef_displacement_fallback,0.6137807210529896,0
rollout_000018,spatial,-0.5000643134117126,negative_eef_displacement_fallback,0.8643923694575162,-1
rollout_000019,spatial,-0.4974445104598999,negative_eef_displacement_fallback,0.8678290668220777,-1
rollout_000020,spatial,-0.4968317747116089,negative_eef_displacement_fallback,0.8686328628976059,-1
rollout_000021,object,-0.49232080578804016,negative_eef_displacement_fallback,0.9572817268791889,1
rollout_000022,long,-0.4764704406261444,negative_eef_displacement_fallback,0.7875085027071784,-1
rollout_000023,goal,-0.48411527276039124,negative_eef_displacement_fallback,1.0,1
rollout_000024,long,-0.5003126263618469,negative_eef_displacement_fallback,0.7629283165289616,-1
rollout_000025,spatial,-0.48880529403686523,negative_eef_displacement_fallback,0.8791621223453472,-1
rollout_000026,long,-0.48011514544487,negative_eef_displacement_fallback,0.7837509813120336,-1
rollout_000027,goal,-1.2422716617584229,negative_eef_displacement_fallback,0.003614786408117971,0
rollout_000028,spatial,-0.5039044618606567,negative_eef_displacement_fallback,0.8593548043059543,-1
rollout_000029,goal,-0.9017292261123657,negative_eef_displacement_fallback,0.45116288123684506,0
rollout_000030,goal,-0.7965907454490662,negative_eef_displacement_fallback,0.5893381034372078,0
rollout_000031,object,-0.4963350296020508,negative_eef_displacement_fallback,0.9472617218325492,1
rollout_000032,goal,-1.0283175706863403,negative_eef_displacement_fallback,0.28479779274464756,0
rollout_000033,object,-0.49488210678100586,negative_eef_displacement_fallback,0.9508883990368535,1
rollout_000034,spatial,-0.4863494634628296,negative_eef_displacement_fallback,0.8823837182503971,-1
rollout_000035,object,-0.4920569062232971,negative_eef_displacement_fallback,0.9579404532215773,1
rollout_000036,goal,-0.5100598931312561,negative_eef_displacement_fallback,0.9659030293948343,1
rollout_000037,object,-0.4943977892398834,negative_eef_displacement_fallback,0.9520973162350639,1
rollout_000038,goal,-0.4940468370914459,negative_eef_displacement_fallback,0.9869477274202261,1
rollout_000039,object,-0.48865658044815063,negative_eef_displacement_fallback,0.9664280919297803,1
rollout_000040,spatial,-0.49617093801498413,negative_eef_displacement_fallback,0.8694997585288686,-1
rollout_000041,object,-0.5116429924964905,negative_eef_displacement_fallback,0.9090511305544281,1
rollout_000042,spatial,-0.5062923431396484,negative_eef_displacement_fallback,0.8562223453197859,-1
rollout_000043,spatial,-0.541265070438385,negative_eef_displacement_fallback,0.810344589645097,-1
rollout_000044,goal,-1.030772089958191,negative_eef_displacement_fallback,0.2815720114356219,0
rollout_000045,long,-0.5235990285873413,negative_eef_displacement_fallback,0.7389211173372208,-1
rollout_000046,long,-0.4965219497680664,negative_eef_displacement_fallback,0.7668363280447434,-1
rollout_000047,spatial,-0.4970792531967163,negative_eef_displacement_fallback,0.8683082168562057,-1
rollout_000048,spatial,-0.5034604072570801,negative_eef_displacement_fallback,0.8599373218898732,-1
rollout_000049,object,-0.49669966101646423,negative_eef_displacement_fallback,0.946351556186121,1
rollout_000050,object,-0.6679480671882629,negative_eef_displacement_fallback,0.5188941015017324,0
rollout_000051,object,-0.49007943272590637,negative_eef_displacement_fallback,0.9628764745650547,1
rollout_000052,long,-0.7186654210090637,negative_eef_displacement_fallback,0.5378167263224704,0
rollout_000053,object,-0.49403494596481323,negative_eef_displacement_fallback,0.9530030184618937,1
rollout_000054,long,-0.4889317750930786,negative_eef_displacement_fallback,0.7746614456201429,-1
rollout_000055,goal,-1.0417784452438354,negative_eef_displacement_fallback,0.26710722577754903,0
rollout_000056,goal,-0.503083348274231,negative_eef_displacement_fallback,0.975071752679864,1
rollout_000057,goal,-0.49871015548706055,negative_eef_displacement_fallback,0.9808190954346774,1
rollout_000058,object,-0.5168712735176086,negative_eef_displacement_fallback,0.8960006867714956,1
rollout_000059,object,-0.5366793274879456,negative_eef_displacement_fallback,0.8465573049515391,-1
rollout_000060,spatial,-0.5175315737724304,negative_eef_displacement_fallback,0.8414785516048222,-1
rollout_000061,object,-0.49336618185043335,negative_eef_displacement_fallback,0.9546723373916728,1
