feature_set,rank,feature_idx,feature_value,default_scale,selection_strategy,intervention_direction,is_random_control,trigger_mode,trigger_start_step,allowed_task_specs
top20_class_mean_0p5,0,10609,0.0062738202395848,1.0,class_mean_dose_0.5_spatial1,set_low_progress_toward_high_progress_mean_alpha_0.5,0,always,20,spatial:1
top20_class_mean_0p5,1,11471,0.0050037315813824,1.0,class_mean_dose_0.5_spatial1,set_low_progress_toward_high_progress_mean_alpha_0.5,0,always,20,spatial:1
top20_class_mean_0p5,2,1972,0.00488556997152045,1.0,class_mean_dose_0.5_spatial1,set_low_progress_toward_high_progress_mean_alpha_0.5,0,always,20,spatial:1
top20_class_mean_0p5,3,9215,0.008278756518848199,1.0,class_mean_dose_0.5_spatial1,set_low_progress_toward_high_progress_mean_alpha_0.5,0,always,20,spatial:1
top20_class_mean_0p5,4,11070,0.0052282282267697,1.0,class_mean_dose_0.5_spatial1,set_low_progress_toward_high_progress_mean_alpha_0.5,0,always,20,spatial:1
top20_class_mean_0p5,5,3154,0.00630944252770855,1.0,class_mean_dose_0.5_spatial1,set_low_progress_toward_high_progress_mean_alpha_0.5,0,always,20,spatial:1
top20_class_mean_0p5,6,11183,0.0043616982293315,1.0,class_mean_dose_0.5_spatial1,set_low_progress_toward_high_progress_mean_alpha_0.5,0,always,20,spatial:1
top20_class_mean_0p5,7,9998,0.0053790193924214,1.0,class_mean_dose_0.5_spatial1,set_low_progress_toward_high_progress_mean_alpha_0.5,0,always,20,spatial:1
top20_class_mean_0p5,8,15966,0.004668989466153999,1.0,class_mean_dose_0.5_spatial1,set_low_progress_toward_high_progress_mean_alpha_0.5,0,always,20,spatial:1
top20_class_mean_0p5,9,1528,0.0034761700953822,1.0,class_mean_dose_0.5_spatial1,set_low_progress_toward_high_progress_mean_alpha_0.5,0,always,20,spatial:1
top20_class_mean_0p5,10,5981,0.006897071230923701,1.0,class_mean_dose_0.5_spatial1,set_low_progress_toward_high_progress_mean_alpha_0.5,0,always,20,spatial:1
top20_class_mean_0p5,11,15118,0.0036453338107093496,1.0,class_mean_dose_0.5_spatial1,set_low_progress_toward_high_progress_mean_alpha_0.5,0,always,20,spatial:1
top20_class_mean_0p5,12,14915,0.0033559372532181,1.0,class_mean_dose_0.5_spatial1,set_low_progress_toward_high_progress_mean_alpha_0.5,0,always,20,spatial:1
top20_class_mean_0p5,13,1457,0.0033928316552191,1.0,class_mean_dose_0.5_spatial1,set_low_progress_toward_high_progress_mean_alpha_0.5,0,always,20,spatial:1
top20_class_mean_0p5,14,8150,0.0029932217439636003,1.0,class_mean_dose_0.5_spatial1,set_low_progress_toward_high_progress_mean_alpha_0.5,0,always,20,spatial:1
top20_class_mean_0p5,15,13328,0.0040429362270515,1.0,class_mean_dose_0.5_spatial1,set_low_progress_toward_high_progress_mean_alpha_0.5,0,always,20,spatial:1
top20_class_mean_0p5,16,15790,0.0036599615123122497,1.0,class_mean_dose_0.5_spatial1,set_low_progress_toward_high_progress_mean_alpha_0.5,0,always,20,spatial:1
top20_class_mean_0p5,17,15872,0.0031612701568519,1.0,class_mean_dose_0.5_spatial1,set_low_progress_toward_high_progress_mean_alpha_0.5,0,always,20,spatial:1
top20_class_mean_0p5,18,3212,0.0031188302018563,1.0,class_mean_dose_0.5_spatial1,set_low_progress_toward_high_progress_mean_alpha_0.5,0,always,20,spatial:1
top20_class_mean_0p5,19,15030,0.00401831435738125,1.0,class_mean_dose_0.5_spatial1,set_low_progress_toward_high_progress_mean_alpha_0.5,0,always,20,spatial:1
